FIPS,County,State,Region
01003,Baldwin,AL,South Atlantic
01097,Mobile,AL,South Atlantic
09001,Fairfield,CT,North Atlantic
09007,Middlesex,CT,North Atlantic
09009,New Haven,CT,North Atlantic
09011,New London,CT,North Atlantic
10001,Kent,DE,Mid Atlantic
10003,New Castle,DE,Mid Atlantic
10005,Sussex,DE,Mid Atlantic
12005,Bay,FL,Gulf Coast
12009,Brevard,FL,South Atlantic
12011,Broward,FL,South Atlantic
12015,Charlotte,FL,Gulf Coast
12017,Citrus,FL,Gulf Coast
12021,Collier,FL,Gulf Coast
12025,Dade,FL,South Atlantic
12029,Dixie,FL,Gulf Coast
12031,Duval,FL,South Atlantic
12033,Escambia,FL,Gulf Coast
12035,Flagler,FL,South Atlantic
12037,Franklin,FL,Gulf Coast
12043,Glades,FL,Gulf Coast
12045,Gulf,FL,Gulf Coast
12051,Hendry,FL,Gulf Coast
12053,Hernando,FL,Gulf Coast
12057,Hillsborough,FL,Gulf Coast
12061,Indian River,FL,South Atlantic
12065,Jefferson,FL,Gulf Coast
12071,Lee,FL,Gulf Coast
12075,Levy,FL,Gulf Coast
12081,Manatee,FL,Gulf Coast
12085,Martin,FL,South Atlantic
12087,Monroe,FL,Gulf Coast
12089,Nassau,FL,South Atlantic
12091,Okaloosa,FL,Gulf Coast
12093,Okeechobee,FL,South Atlantic
12099,Palm Beach,FL,South Atlantic
12101,Pasco,FL,Gulf Coast
12103,Pinellas,FL,Gulf Coast
12109,St. Johns,FL,South Atlantic
12111,St. Lucie,FL,South Atlantic
12113,Santa Rosa,FL,Gulf Coast
12115,Sarasota,FL,Gulf Coast
12123,Taylor,FL,Gulf Coast
12127,Volusia,FL,South Atlantic
12129,Wakulla,FL,Gulf Coast
12131,Walton,FL,Gulf Coast
13029,Bryan,GA,South Atlantic
13039,Camden,GA,South Atlantic
13051,Chatham,GA,South Atlantic
13127,Glynn,GA,South Atlantic
13179,Liberty,GA,South Atlantic
13191,McIntosh,GA,South Atlantic
22023,Cameron,LA,Louisiana
22045,Iberia,LA,Louisiana
22051,Jefferson,LA,Louisiana
22057,Lafourche,LA,Louisiana
22071,Orleans,LA,Louisiana
22075,Plaquemines,LA,Louisiana
22087,St. Bernard,LA,Louisiana
22101,St. Mary,LA,Louisiana
22103,St. Tammany,LA,Louisiana
22109,Terrebonne,LA,Louisiana
22113,Vermilion,LA,Louisiana
23005,Cumberland,ME,North Atlantic
23009,Hancock,ME,North Atlantic
23013,Knox,ME,North Atlantic
23015,Lincoln,ME,North Atlantic
23023,Sagadahoc,ME,North Atlantic
23027,Waldo,ME,North Atlantic
23029,Washington,ME,North Atlantic
23031,York,ME,North Atlantic
24003,Anne Arundel,MD,Mid Atlantic
24005,Baltimore,MD,Mid Atlantic
,Baltimore (inc Baltimore City),MD,Mid Atlantic
24009,Calvert,MD,Mid Atlantic
24011,Caroline,MD,Mid Atlantic
24015,Cecil,MD,Mid Atlantic
24019,Dorchester,MD,Mid Atlantic
24025,Harford,MD,Mid Atlantic
24029,Kent,MD,Mid Atlantic
24035,Queen Anne's,MD,Mid Atlantic
24037,St. Mary's,MD,Mid Atlantic
24039,Somerset,MD,Mid Atlantic
24041,Talbot,MD,Mid Atlantic
24045,Wicomico,MD,Mid Atlantic
24047,Worcester,MD,Mid Atlantic
24510,Baltimore City,MD,Mid Atlantic
25001,Barnstable,MA,North Atlantic
25005,Bristol,MA,North Atlantic
25007,Dukes,MA,North Atlantic
25009,Essex,MA,North Atlantic
25019,Nantucket,MA,North Atlantic
25021,Norfolk,MA,North Atlantic
25023,Plymouth,MA,North Atlantic
25025,Suffolk,MA,North Atlantic
28045,Hancock,MS,Gulf Coast
28047,Harrison,MS,Gulf Coast
28059,Jackson,MS,Gulf Coast
33015,Rockingham,NH,North Atlantic
34001,Atlantic,NJ,Mid Atlantic
34003,Bergen,NJ,Mid Atlantic
34005,Burlington,NJ,Mid Atlantic
34009,Cape May,NJ,Mid Atlantic
34011,Cumberland,NJ,Mid Atlantic
34017,Hudson,NJ,Mid Atlantic
34023,Middlesex,NJ,Mid Atlantic
34025,Monmouth,NJ,Mid Atlantic
34029,Ocean,NJ,Mid Atlantic
34033,Salem,NJ,Mid Atlantic
36005,Bronx,NY,North Atlantic
36047,Kings,NY,North Atlantic
36059,Nassau,NY,North Atlantic
36061,New York,NY,North Atlantic
36081,Queens,NY,North Atlantic
36085,Richmond,NY,North Atlantic
36103,Suffolk,NY,North Atlantic
36119,Westchester,NY,North Atlantic
37013,Beaufort,NC,South Atlantic
37015,Bertie,NC,South Atlantic
37019,Brunswick,NC,South Atlantic
37029,Camden,NC,South Atlantic
37031,Carteret,NC,South Atlantic
37041,Chowan,NC,South Atlantic
37053,Currituck,NC,South Atlantic
37055,Dare,NC,South Atlantic
37095,Hyde,NC,South Atlantic
37129,New Hanover,NC,South Atlantic
37133,Onslow,NC,South Atlantic
37137,Pamlico,NC,South Atlantic
37139,Pasquotank,NC,South Atlantic
37141,Pender,NC,South Atlantic
37143,Perquimans,NC,South Atlantic
37177,Tyrrell,NC,South Atlantic
37187,Washington,NC,South Atlantic
44001,Bristol,RI,North Atlantic
44003,Kent,RI,North Atlantic
44005,Newport,RI,North Atlantic
44007,Providence,RI,North Atlantic
44009,Washington,RI,North Atlantic
45013,Beaufort,SC,South Atlantic
45019,Charleston,SC,South Atlantic
45029,Colleton,SC,South Atlantic
45043,Georgetown,SC,South Atlantic
45051,Horry,SC,South Atlantic
48007,Aransas,TX,Gulf Coast
48039,Brazoria,TX,Gulf Coast
48057,Calhoun,TX,Gulf Coast
48061,Cameron,TX,Gulf Coast
48071,Chambers,TX,Gulf Coast
48167,Galveston,TX,Gulf Coast
48201,Harris,TX,Gulf Coast
48239,Jackson,TX,Gulf Coast
48245,Jefferson,TX,Gulf Coast
48261,Kenedy,TX,Gulf Coast
48273,Kleberg,TX,Gulf Coast
48321,Matagorda,TX,Gulf Coast
48355,Nueces,TX,Gulf Coast
48361,Orange,TX,Gulf Coast
48391,Refugio,TX,Gulf Coast
48409,San Patricio,TX,Gulf Coast
48489,Willacy,TX,Gulf Coast
51001,Accomack,VA,Mid Atlantic
51073,Gloucester,VA,Mid Atlantic
51093,Isle of Wight,VA,Mid Atlantic
51095,James City,VA,Mid Atlantic
,James City (inc. Williamsburg City),,Mid Atlantic
51103,Lancaster,VA,Mid Atlantic
51115,Mathews,VA,Mid Atlantic
51119,Middlesex,VA,Mid Atlantic
51131,Northampton,VA,Mid Atlantic
51133,Northumberland,VA,Mid Atlantic
51151,Princess Anne,VA,Mid Atlantic
51181,Surry,VA,Mid Atlantic
51193,Westmoreland,VA,Mid Atlantic
51199,York,VA,Mid Atlantic
,"York (inc. Newport News City, Hampton City, Poquoson City)",,Mid Atlantic
51550,Chesapeake City,VA,Mid Atlantic
,"Chesapeake (inc. Chesapeake City, Norfolk City, Portsmouth City)",,Mid Atlantic
51650,Hampton City,VA,Mid Atlantic
51700,Newport News City,VA,Mid Atlantic
51710,Norfolk City,VA,Mid Atlantic
51735,Poquoson City,VA,Mid Atlantic
51740,Portsmouth City,VA,Mid Atlantic
51800,Suffolk City,VA,Mid Atlantic
51810,Virginia Beach City,VA,Mid Atlantic
,Virginia Beach (inc. Princess Anne County),VA,Mid Atlantic
51830,Williamsburg City,VA,Mid Atlantic
