Abby,1964,750000,55,6.1,1.2,0
Abby,1968,450000,60,14.7,0.6,0
Able,1952,2750000,75,6.5,1.2,0
Agnes,1972,100000000,75,9.0,2.1,0
Agnes x2,1972,2000000000,65,19.0,2.0,0
Alberto,1994,500000000,55,27.9,0.9,1
Alex,2004,4000000,70,7.6,1.2,0
Alex,2010,10000000,60,14.4,1.2,0
Alicia,1983,2000000000,100,9.5,3.7,1
Allen,1980,300000000,100,20.2,3.7,1
Allison,1989,500000000,40,25.7,2.1,1
Allison,1995,1700000,60,9.1,2.5,0
Allison,2001,5000000000,45,40.7,0.8,1
Alma,1962,1000000,35,10.4,1.0,0
Alma,1966,10050000,90,9.9,3.0,0
Amelia,1978,20000000,45,48.0,0.3,0
Andrew,1992,25000000000,145,14.0,5.2,1
Andrew x2,1992,1500000000,100,9.3,2.4,0
Arlene,1959,500000,40,13.6,1.2,0
Arlene,1993,22000000,35,15.3,1.2,0
Audrey,1957,150000000,125,10.6,1.8,0
Babe,1977,10000000,65,11.0,1.5,0
Bahamas Hurricane,1929,100000,90,5.0,1.2,0
Bahamas Hurricane x2,1929,200000,65,20.0,0.6,0
Barbara,1953,1000000,75,11.1,1.4,0
Barry,2001,30000000,60,11.7,0.9,0
Belle,1976,100000000,80,6.8,2.7,0
Bertha,1996,270000000,90,9.2,3.0,0
Beryl,1988,3000000,45,16.1,1.5,0
Beryl,1994,73000000,50,17.5,0.9,0
Betsy,1965,139300000,110,12.2,2.7,0
Betsy x2,1965,1280500000,140,12.0,4.6,0
Beulah,1967,200000000,105,27.4,6.1,0
Bill,2003,50000000,50,10.2,1.8,1
Bob,1979,20000000,65,7.2,1.5,0
Bob,1985,25000000,65,21.5,0.8,0
Bob,1991,1500000000,90,8.2,1.8,1
Bonnie,1986,2000000,75,13.0,1.5,0
Bonnie,1998,720000000,95,14.6,2.4,1
Brenda,1960,5000000,35,14.6,1.2,0
Bret,1999,60000000,100,13.2,2.7,1
Camille,1969,1421000000,150,27.0,7.3,0
Candy,1968,3000000,75,3.9,1.2,0
Cape Sable Hurricane,1947,20000000,75,14.3,1.8,0
Cape Sable Hurricane x2,1947,3000000,90,10.0,2.7,0
Carla,1961,325740000,125,17.5,5.6,0
Carmen,1974,150000000,105,13.2,1.8,0
Carol,1954,500000,105,4.0,0.9,0
Carol x2,1954,460000000,90,6.2,4.5,0
Carrie,1972,1780000,50,12.5,0.8,0
Celia,1970,454000000,110,7.3,2.8,0
Central American Hurricane,1934,2605000,85,9.6,3.0,0
Chantal,1989,100000000,70,20.0,2.0,1
Charley,1986,15000000,65,8.6,1.2,0
Charley,1998,50000000,40,19.1,1.5,1
Charley,2004,13510000000,130,9.9,4.0,1
Charley x2,2004,90000000,70,7.0,1.0,0
Chesapeake Potomac Hurricane,1933,27000000,90,16.0,3.0,0
Chris,1982,2000000,55,16.0,1.8,0
Chris,1988,500000,40,7.6,0.3,0
Cindy,1963,12560000,75,23.5,1.5,0
Cindy,2005,320000000,65,9.5,1.8,0
Claudette,1979,400000000,45,45.0,1.2,0
Claudette,2003,180000000,80,6.6,1.6,0
Cleo,1964,128500000,90,14.3,1.8,0
Connie,1955,40000000,105,13.2,2.4,0
Cuba Brownsville Hurricane,1933,16900000,110,15.0,4.0,0
Cuba Florida Hurricane,1944,63000000,105,11.4,3.7,0
Cuba Florida Hurricane x2,1944,37000000,50,5.0,0.3,0
Cuba Hurricane,1910,500000,95,21.6,3.4,0
Daisy,1962,1100000,50,9.5,0.6,0
Danny,1985,50000000,80,9.8,1.8,0
Danny,1997,100000000,70,37.8,1.6,1
David,1979,160000000,80,8.9,1.2,0
David x2,1979,160000000,80,15.5,2.7,0
Dean,1995,500000,40,17.6,1.8,0
Debbie,1965,25000000,35,17.2,1.2,0
Debra,1959,7000000,75,15.9,2.4,0
Delia,1973,18000000,60,13.9,1.8,0
Dennis,1981,25000000,35,25.6,0.3,0
Dennis,1999,157000000,60,19.9,1.2,1
Dennis,2005,2230000000,105,12.8,3.0,0
Diana,1984,65000000,95,19.0,3.7,0
Diane,1955,200000000,75,11.1,2.4,0
Diane x2,1955,600000000,55,19.8,0.6,0
Dolly,2008,1050000000,75,15.0,1.2,0
Donna,1960,300000000,125,13.2,4.0,0
Donna x2,1960,56500000,105,10.0,2.4,0
Donna x3,1960,30000000,105,7.3,3.0,0
Dora,1964,250000000,100,23.7,1.8,0
